|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|17|12|1|90%|$23.7m|$24.0m|1.31|2022-06-16 07:49:15
1|Pierre Gasly  GAS  AlphaTauri|5|4|0|75%|$12.9m|$13.5m|0.82|2022-06-16 07:49:15
2|Fernando Alonso  ALO  Alpine|3|2|0|70%|$12.2m|$12.5m|0.65|2022-06-16 07:49:15
3|Guanyu Zhou  ZHO  Alfa Romeo|2|2|0|64%|$8.4m|$8.0m|0.42|2022-06-16 07:49:15
4|Valtteri Bottas  BOT  Alfa Romeo|-1|-1|0|62%|$9.6m|$9.0m|2.01|2022-06-16 07:49:15
5|Nicholas Latifi  LAT  Williams|9|6|0|17%|$6.6m|$7.0m|1.23|2022-06-16 07:49:15
6|Mick Schumacher  SCH  Haas|0|0|0|15%|$6.2m|$6.5m|0.42|2022-06-16 07:49:15
7|Sergio Perez  PER  Red Bull|11|8|0|12%|$18.3m|$17.5m|1.82|2022-06-16 07:49:15
8|Daniel Ricciardo  RIC  Mclaren|0|0|0|10%|$13.5m|$14.5m|0.56|2022-06-16 07:49:15
9|Yuki Tsunoda  TSU  AlphaTauri|4|3|0|10%|$8.3m|$8.5m|0.74|2022-06-16 07:49:15
10|Kevin Magnussen  MAG  Haas|-2|-1|0|5%|$6.1m|$5.5m|1.09|2022-06-16 07:49:15
11|Charles Leclerc  LEC  Ferrari|-9|-6|0|3%|$19.0m|$18.0m|1.65|2022-06-16 07:49:15
12|Lewis Hamilton  HAM  Mercedes|0|0|0|0%|$30.0m|$31.0m|0.65|2022-06-16 07:49:15
13|Max Verstappen  VER  Red Bull|0|0|0|-17%|$30.5m|$30.5m|1.23|2022-06-16 07:49:15
14|Esteban Ocon  OCO  Alpine|-4|-3|0|-25%|$12.4m|$12.0m|1.29|2022-06-16 07:49:15
15|Lando Norris  NOR  Mclaren|-3|-2|0|-35%|$15.8m|$16.0m|1.12|2022-06-16 07:49:15
16|Sebastian Vettel  VET  Aston Martin|6|4|0|-39%|$11.4m|$11.5m|0.91|2022-06-16 07:49:15
17|SAI  Carlos Sainz  Ferrari|-6|-4|0|-44%|$17.2m|$17.0m|1.1|2022-06-16 07:49:15
18|Lance Stroll  STR  Aston Martin|-2|-1|0|-59%|$9.0m|$9.5m|1.26|2022-06-16 07:49:15
19|Alex Albon  ALB  Williams|2|1|0|-92%|$7.8m|$7.5m|1.23|2022-06-16 07:49:15
